id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
101,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.","Full Body, Calves, Legs",11.8,"Boxing, Cardio, Crossfit, HIIT",84
102,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.","Abs, Shoulders, Chest",5.5,"Bodybuilding, Strength Training",192
103,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.","Shoulders, Deltoids, Back",3.5,"Bodybuilding, Strength Training",168
104,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Abs, Hip Flexors",4.5,"Bodybuilding, Strength Training",168
105,Shoulder-Elevated One-Leg Hip Thrusts,"The Shoulder-Elevated One-Leg Hip Thrust is a glute exercise that isolates and targets the gluteal muscles. Elevating the shoulders increases the range of motion, and performing it on one leg increases the difficulty.","Glutes, Hamstrings",4.5,"Bodybuilding, Strength Training",168
106,Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.","Abs, Obliques",3.0,"Fitness, Strength Training",120
107,Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abs,4.0,Strength Training,168
108,Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Abs, Lats, Shoulders",5.0,"Bodybuilding, Strength Training",168
109,Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Abs,3.0,"Bodybuilding, Strength Training",120
110,Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Abs, Obliques",4.5,"Bodybuilding, Strength Training",168
111,Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.","Abs, Shoulders",4.8,"Fitness, Strength Training",144
112,30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,Obliques,2.0,Mobility,84
113,Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.","Abs, Shoulders",4.5,"Calisthenics, Suspension Training",168
114,Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.","Obliques, Abs, Shoulders",4.8,"Calisthenics, Suspension Training",168
115,Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abs,4.0,"Bodybuilding, Strength Training",168
116,30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,"Abs, Shoulders, Chest",5.0,"Bodybuilding, Strength Training",192
117,Holman Towel Reverse Plank Alternating Heel Pull-in,"The Towel Reverse Plank Alternating Heel Pull-in is a posterior chain exercise that targets the glutes, hamstrings, and lower back. Using a towel under the heels adds a sliding element, increasing the difficulty.","Glutes, Hamstrings, Lower Back",4.0,"Fitness, Home Workouts",120
118,Holman Boat with Weighted Cross Punch,The Boat with Weighted Cross Punch is a core exercise that combines an isometric boat pose hold with a rotational movement. It targets the rectus abdominis and obliques while improving balance.,"Abs, Obliques",4.5,"Boxing, Fitness, Pilates",168
119,Holman Weighted Hook Punch,"The Weighted Hook Punch is an exercise that simulates a boxing punch while adding resistance. It targets the shoulders, arms, and core, improving power and explosiveness.","Shoulders, Obliques, Arms",6.0,"Boxing, Fitness, Martial Arts",168
120,Holman Weighted Traveling Punch,The Holman weighted traveling punch is a dynamic exercise that combines movement with punching. You travel in a certain direction while punching with weights.,"Full Body, Shoulders, Arms, Abs",7.0,"Boxing, HIIT, Martial Arts",168
121,Holman Weighted Uppercut Punch,The Holman weighted uppercut punch is a core and shoulder exercise that mimics an uppercut punch while holding a weight.,"Shoulders, Obliques, Arms",6.0,"Boxing, Fitness, Martial Arts",168
122,Holman Slow Weighted Double Pike,The Holman slow weighted double pike is an advanced core exercise that involves piking the hips up slowly while holding weights.,Abs,5.0,Calisthenics,192
123,Holman Plate Straight Plank Reach,"In a straight plank position, the Holman plate straight plank reach involves reaching one arm forward to touch a weight plate, challenging core stability.",Abs,4.0,"Fitness, Strength Training",168
124,Holman Plate Elbow Plank Jack to Straight Plank Jack,"The Holman plate elbow plank jack to straight plank jack is a dynamic plank variation. It involves performing plank jacks on your elbows, then transitioning to a straight-arm plank for more jacks.","Abs, Glutes, Full Body",8.0,"Circuit Training, Fitness, HIIT",168
125,Holman Plate Hill Climber,The Holman plate hill climber is a variation of mountain climbers where you tap your toes on a weight plate.,"Abs, Full Body",8.5,"Circuit Training, HIIT",168
126,Holman Plate Reverse Plank Hill Climber,"The Plate Reverse Plank Hill Climber is a posterior chain exercise targeting the glutes and hamstrings. It involves maintaining a reverse plank position while alternately driving the knees to the chest, holding a plate on the hips.","Glutes, Hamstrings",4.5,"Fitness, Strength Training",168
127,Holman Plate Straight Plank Pike to Jack,The Holman plate straight plank pike to jack is a core exercise that combines a plank pike (lifting your hips) with a plank jack (jumping your feet out and in).,"Abs, Shoulders, Glutes",7.5,"Circuit Training, HIIT",168
128,Holman Plate In-and-Out Push-Up,"The Plate In-and-Out Push-Up is a push-up variation that adds a stability challenge. It involves sliding a plate under one hand in and out during the movement, engaging the chest, shoulders, and core.","Chest, Shoulders, Triceps, Abs",5.5,"Fitness, Strength Training",168
129,Holman Plate Burpee,"The Holman plate burpee is a burpee variation that incorporates a weight plate, often by jumping onto or over it.",Full Body,9.5,"Crossfit, Fitness, HIIT",168
130,Holman Plate Elbow Plank Reach,The Plate Elbow Plank Reach is a core stability exercise that targets the rectus abdominis and obliques. It involves maintaining an elbow plank while sliding a plate forward and back with one hand.,Abs,4.0,"Fitness, Strength Training",168
