Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.04,,0.09,0.96,0.16,3.0,0.4,,33.0,,9.58,3477.0,8285.0,,8.8,0.045,47.0,0.01,41.0,0.01,0.12,0.04,,,,2.8,3.2,19.0,,,,0.93,,0.95,0.12,0.04,0.03,,0.3,0.04,,0.06,256.0,1.0,0.06,,,,,,,,,12.0,,0.14,0.02,0.98,,,,,,,,,,,,,0.21,0.05,35.0,,320.0,0.04,0.93,,0.06,,,,,,,,,,,,,,,0.1,0.05,69.0,1.53,,2.62,,,,,0.07,0.05,4.74,0.24,0.02,0.04,0.05,835.0,,0.14,5.9,,88.29,0.24,,Vegetables and Vegetable Products,"Vegan,Vegetarian",6,Carrots (often julienned and caramelized with sugar),100.0,13.2,0.66,,6.2
0.16,,0.21,1.86,0.33,11.0,,,50.0,,79.18,,3.0,,7.7,0.318,,0.02,299.0,0.02,0.07,0.05,,,,3.7,,5.0,,,,33.72,,29.83,0.37,0.13,0.05,,1.88,0.1,,0.15,106.0,,0.14,,,,,,,,,32.0,,0.12,0.03,0.77,,,,,,,,,,,,,0.11,0.1,98.0,,749.0,0.14,3.07,,0.08,,,,,,,,,,,,,,,0.6,0.11,11.0,,,0.18,,,,,0.11,0.12,59.19,0.46,0.01,0.06,0.12,,,0.17,2.3,,15.43,0.22,,Fruits and Fruit Juices,"Vegan,Vegetarian",6,Raisins (black and golden),100.0,3.5,0.12,,4.0
,,,0.03,,,,,1.0,,99.8,,,,0.2,0.003,,,387.0,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,2.0,,,,0.02,,,,,,,,,,,,,,,0.9,,1.0,,,99.8,,,,,,,99.8,,,,,,,,,,0.17,0.01,,Sugars and honey,"Vegan,Vegetarian",6,Sugar (for caramelizing),100.0,,,,7.0
0.534,,0.732,9.25,1.09,,,,525.0,,55.8,28.0,466.0,,,0.569,,0.125,325.0,5.06,4.09,2.94,,,,33.2,,96.0,96.0,96.0,,,,,1.48,0.486,0.29,,19.1,0.541,,0.887,,,0.573,,,,,,,,,180.0,,4.13,0.158,2.05,,,,,,,,,,,,,0.489,0.573,367.0,,1160.0,0.468,12.6,,0.41,,,,,,,,,,,,,,,13.9,0.518,280.0,,,,,,,,0.165,0.443,5.14,14.0,0.181,0.413,0.692,39.0,,0.457,0.5,,8.35,3.29,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Advieh (Persian spice mix),100.0,99.4,2.53,0.002,6.0
,,,0.49,,,,,100.0,,9.3,,1650.0,,,0.078,,,45.0,,,,,,,3.2,,76.0,76.0,,,,,,,,,,0.95,,,,,,,,,,,,,,,46.0,,0.2,,0.3,,,,,,,,,,,,,,,53.0,,370.0,,2.5,,0.17,,,,,,,,,,,,,,,0.7,,11.0,,,,,,,,0.05,,2.8,0.3,,,,138.0,,0.07,13.0,,87.5,0.37,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Angelica,100.0,26.0,0.7,,6.0
,,,1.2,,,,,140.0,,15.6,,600.0,,,0.1,,,71.0,,,,,,,3.6,,10.0,10.0,,,,,,,,,,1.2,,,,,,,,,,,,,,,35.0,,0.3,,0.5,,,,,,,,,,,,,,,25.0,,200.0,,1.1,,0.05,,,,,,,,,,,,,,,0.5,,3.0,,,,,,,,0.05,,10.4,0.5,,,,50.0,,0.1,25.0,,81.6,0.2,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Barberries (Zereshk),100.0,15.0,0.3,,3.0
,,,,,,,,33.0,,10.54,,3.0,,,0.076,,,30.0,0.012,0.096,0.027,,,,2.8,,,,8.0,,,,,,,,,0.6,,,,10.0,,,,,,,,,,,6.0,,0.007,,0.2,,,,,,,,,,,,,,,18.0,,102.0,,0.7,,0.02,,,,,,,,,,,,,,,0.6,,2.0,,,,,,,,0.03,,1.69,0.2,,,,2.0,,0.06,29.1,,88.29,0.08,,Dried fruits,"Gluten-Free,Vegan,Vegetarian",6,Dried Limes (Loomi / Limoo Amani),100.0,0.6,0.1,,2.8
,,,1.9,,,,,395.0,,7.3,,1610.0,,,0.088,,,49.0,,,,,,,2.5,,28.0,28.0,,,,,,,,,,1.93,,,,,,,,,,,,,,,39.0,,0.197,,0.4,,,,,,,,,,,,,,,71.0,,355.0,,4.4,,0.28,,,,,,,,,,,,,,,0.6,,30.0,,,,,,,,0.03,,3.5,0.9,,,,134.0,,0.07,25.0,,85.5,0.58,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Fenugreek Leaves (Shanbalileh),100.0,40.0,0.8,,6.3
,,,1.2,,,,,162.0,,8.9,,875.0,,,0.076,,,45.0,,,,,,,3.2,,13.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,35.0,,0.187,,0.5,,,,,,,,,,,,,,,61.0,,384.0,,1.6,,0.08,,,,,,,,,,,,,,,0.6,,53.0,,,,,,,,0.08,,,0.3,,,,73.0,,0.09,13.0,,88.0,0.4,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Golpar (Angelica / Persian Hogweed),100.0,28.5,0.1,,6.0
,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,99.0,,,Flavored or carbonated water,"Gluten-Free,Vegan,Vegetarian",6,Rose Petals/Rosewater,100.0,28.9,1.09,,5.5
,,,10.94,,,,,2130.0,,68.7,,3120.0,,32.1,0.69,,,272.0,1.58,1.58,1.58,,,,38.2,,154.0,,,,,,,,,,,37.88,,,,1800.0,,,,,,,,,,,377.0,,6.75,,4.07,,,,,,,,,,,,,,,104.0,,1051.0,,6.73,,0.21,,,,,,,,,,,,,,,4.6,,44.0,,,,,,,,0.332,,0.8,5.91,,,,260.0,,1.81,50.0,,7.72,4.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Savory (Marzeh),100.0,310.0,3.42,,6.5
,,,9.38,,,,,1139.0,,50.22,,5040.0,,49.3,0.83,,,295.0,0.443,2.112,1.956,,,,28.6,,274.0,,,,,,,,,,,32.3,,,,1200.0,,,,,,,,,,,347.0,,6.8,,8.97,,,,,,,,,,,,,,,313.0,,3020.0,,23.22,,0.334,,,,,,,,,,,,,,,4.5,,62.0,,,,,,,,0.2,,,7.24,,,,420.0,,1.4,50.0,,9.94,3.9,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Tarragon (Tarkhoon),100.0,312.4,1.05,,6.0
,,,,,,,,20.0,,67.5,,,,,,,,270.0,,,,,,,0.3,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,0.9,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,64.9,0.3,,,,,,,,,30.0,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Pomegranate Molasses,100.0,28.9,1.09,,3.0
,,,,,,,,10.0,,3.5,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,0.2,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.5,0.1,,,,,,,,,95.5,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Verjuice (Ab Ghooreh),100.0,28.9,1.09,,2.5
0.589,,0.589,5.04,1.006,148.0,,,148.0,8.0,56.63,,2908.0,,35.3,0.373,,0.134,318.0,2.515,9.608,3.26,,,,27.2,,105.0,105.0,105.0,,,,,1.52,0.471,0.279,,7.8,0.388,,0.669,3032.0,4075.0,0.589,,,,,2.441,,,,162.0,,1.916,0.219,8.718,8.991,0.617,,,,,,,,,,,2.52,0.443,293.0,175.0,2014.0,0.44,12.01,,0.919,,,,0.13,,2.148,,0.783,0.081,0.05,,,,,9.8,0.505,30.0,,12.0,,,,,,0.328,0.388,10.34,17.27,0.18,0.388,0.491,369.0,,3.085,76.4,,8.05,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red Chili Powder / Flakes,100.0,10.4,2.98,0.002,5.5
,,,,,,,,,,,,,97.0,,,,,896.0,44.6,4.1,43.2,2.8,2.8,,,,,,,,,,,,,,,0.06,,,,,,,,0.03,2.8,0.2,41.6,,,,,,,,,3.6,0.5,,,,,,,,,,,,,,,,,,,,0.15,0.22,0.01,2.71,0.3,23.3,0.9,14.9,0.6,0.07,,,,0.03,,,,,,,,,,,,,,99.5,,,,,,,,,0.08,,,Fats and Oils,Keto,6,Animal Fat (Dumba / Liyya),100.0,,,0.232,6.5
0.078,,0.112,0.47,0.117,,0.1,,10.0,,18.7,,,,7.6,0.102,,0.007,83.0,0.126,0.12,0.12,,,,4.0,3.9,38.0,38.0,38.0,,7.45,,7.15,0.344,0.067,0.038,,0.3,0.046,,0.067,,,0.056,,,,,0.126,,,,12.0,,0.119,0.015,0.293,0.12,,,,,,,,,,,,0.377,0.043,36.0,,236.0,0.04,1.67,,0.053,,,,0.004,,0.082,,0.027,,,,,,,0.5,0.053,3.0,,,,,,,,0.067,0.046,13.67,1.17,0.007,0.026,0.06,,,0.075,10.2,,77.93,0.35,,Dried fruits,"Gluten-Free,Vegan,Vegetarian",6,Pomegranate (fresh seeds and dried/powdered anardana),100.0,16.4,0.6,,3.2
0.067,,0.08,0.7,0.16,,,,59.0,,14.15,,998.0,,7.1,0.048,,0.01,61.0,0.01,0.16,0.04,,,,1.8,,57.0,57.0,57.0,,,,,0.207,0.064,0.032,,2.1,0.064,,0.091,1600.0,,0.076,,,,,0.014,,,,28.0,,0.481,0.016,0.4,0.056,0.074,,,,,,,,,,,0.26,0.057,35.0,,180.0,0.055,1.5,,0.03,,,,,,0.035,,0.005,,,,,,,1.0,0.064,20.0,,,,,,,,0.06,0.054,3.9,0.3,0.012,0.034,0.08,83.0,,0.233,12.0,,83.25,0.12,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Leek (Gandana),100.0,47.0,1.16,,6.2
0.169,,0.187,1.99,0.354,,,,243.0,,8.41,,2410.0,,10.4,0.24,,0.038,44.0,0.06,0.25,0.19,,,,6.8,,105.0,105.0,105.0,,,,,0.457,0.164,0.076,,5.08,0.145,,0.232,680.0,,0.169,,,,,0.064,,,,80.0,,1.179,0.038,1.706,0.079,0.166,,,,,,,,,,,0.339,0.149,73.0,,458.0,0.126,3.29,,0.266,,,,,,0.124,,0.06,,,,,,,0.8,0.134,30.0,,,,,,,,0.078,0.128,0.2,0.73,0.031,0.088,0.174,202.0,,0.158,13.3,,85.58,1.11,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mint (especially wild varieties),100.0,414.7,1.74,,6.8
0.654,,0.589,5.36,1.053,,,,296.0,,56.63,,4828.0,,46.1,0.37,,0.169,318.0,2.067,9.778,3.26,,,,28.3,,106.0,,106.0,,,,,1.583,0.573,0.301,,16.32,0.536,,0.778,,5225.0,0.655,,,,,,,,,152.0,,2.458,0.198,8.706,,,,,,,,,,,,,2.508,0.505,293.0,,1340.0,0.449,12.01,,0.919,,,,,,,,,,,,,,,10.9,0.505,30.0,,,,,,,,0.328,0.449,10.34,17.27,0.136,0.354,0.612,408.0,,2.45,76.4,,8.8,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red Chili Flakes,100.0,105.7,2.97,0.002,5.2
,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,0.2,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Salt (often local rock salt),100.0,,,,7.0
0.395,,0.435,7.84,0.923,,,,1890.0,,63.8,,2854.0,,26.6,0.767,,0.089,276.0,0.49,2.45,2.51,,,,37.0,,274.0,,274.0,,,,,1.258,0.399,0.218,,123.6,0.396,,0.589,,,0.547,,,,,,,,,220.0,,1.717,0.129,4.108,,,,,,,,,,,,,0.406,0.407,201.0,,814.0,0.312,9.11,,0.471,,,,,,,,,,,,,,,4.6,0.428,55.0,,,,,,,,0.081,0.36,1.7,7.49,0.098,0.244,0.477,238.0,,0.34,50.0,,7.86,6.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Thyme (especially wild mountain thyme),100.0,1714.5,7.5,,6.0
0.155,,0.106,2.66,0.706,,,,67.0,,62.64,,7780.0,,13.5,0.334,,0.015,241.0,0.17,0.137,0.034,,,,7.3,,10.0,,10.0,,16.79,,11.17,0.612,0.127,0.046,,2.66,0.095,,0.15,,,0.138,,,,,,,,,32.0,,0.235,0.019,2.502,,,,,,,,,,,,,0.24,0.091,71.0,,1162.0,0.076,3.39,,0.183,,,,,,,,,,,,,,,2.2,0.131,10.0,,,25.48,,,,,0.061,0.099,53.44,0.51,0.01,0.05,0.123,649.0,,0.14,1.0,,30.89,0.32,,Dried fruits,"Gluten-Free,Vegan,Vegetarian",6,"Apricots (fresh and dried, often used for oil and in dishes)",100.0,3.2,4.33,,4.0
0.038,,0.026,0.11,0.065,,,,24.0,25.0,0.06,,411.0,215.0,18.8,0.005,,0.007,717.0,21.021,3.043,51.368,3.273,2.08,1.19,,,3.0,,3.0,,,,,0.187,0.016,0.02,,0.02,0.05,0.06,0.091,,,0.076,0.38,,0.87,,19.38,0.25,0.14,,2.0,,0.002,0.024,0.042,2.22,0.76,,,,,,,,,,,0.11,0.043,24.0,39.0,24.0,0.094,0.85,684.0,0.034,2.5,2.67,,8.01,0.94,21.36,0.49,9.38,0.17,,,2.76,1.83,1.15,1.0,0.045,11.0,,10.0,,0.09,1.76,,,0.005,0.035,0.06,81.11,0.013,0.043,0.065,684.0,0.17,0.003,,1.3,15.87,0.05,Milk,Butter and animal fats,Vegetarian,6,Butter (clarified and regular),100.0,7.0,2.32,0.77,6.2
2.88,,1.06,3.84,2.16,,,,710.0,,1.34,,31.0,105.0,15.4,0.038,,0.19,404.0,9.299,1.38,20.916,1.06,,,,,40.0,40.0,40.0,,,,,7.1,0.66,0.91,,0.19,1.69,0.15,3.11,,,2.68,0.33,,0.77,,7.98,,,,28.0,,0.007,0.85,0.082,1.04,0.26,,,,,,,,,,,0.261,1.69,509.0,,98.0,3.28,22.87,335.0,0.493,0.82,0.96,,3.08,,10.02,,3.28,,,,0.92,0.64,0.56,28.5,1.89,621.0,,,,,0.78,,,0.034,1.14,0.52,33.31,0.38,1.79,1.97,349.0,1.23,0.052,,0.6,38.6,3.92,Milk,Cheese,Vegetarian,6,Cheese (local varieties),100.0,2.8,0.26,,5.8
0.33,,0.4,0.44,0.47,17.0,63.3,,15.0,2.0,76.31,,,,9.9,0.057,,0.19,364.0,0.158,0.671,0.147,,,,2.7,,194.0,31.0,194.0,111.0,,,,2.9,0.35,0.19,,4.64,0.37,,0.68,,,0.24,,,,,0.158,,,,22.0,,0.682,0.15,5.385,0.617,0.054,,,,,,,,,,,0.551,0.48,108.0,20.0,166.0,0.99,10.33,,0.402,,,,,,0.113,,0.024,,,,,,,23.9,0.52,2.0,68.9,5.0,0.22,,,,,0.713,0.29,0.22,1.02,0.13,0.27,0.48,,,0.04,,,11.9,0.68,Cereals containing gluten,Cereal Grains and Pasta,Vegetarian,6,Flour (used as a thickener in soups and stews),100.0,0.3,0.1,,6.4
0.246,,0.088,0.6,0.315,,,,39.0,,9.82,,,,12.3,0.06,,0.01,43.0,0.039,0.187,0.027,,,,1.7,,6.0,6.0,6.0,,5.3,,4.15,0.165,0.057,0.046,,1.85,0.049,,0.088,,,0.087,,,,,0.039,,,,18.0,,0.134,0.013,0.6,0.168,0.019,,,,,,,,,,,0.145,0.06,38.0,,194.0,0.08,1.44,,0.101,,,,,,0.027,,,,,,,,,0.6,0.063,10.0,,,0.17,,,,,0.029,0.049,9.62,0.39,0.01,0.029,0.076,,,0.05,36.4,,87.68,0.12,,Dried fruits,"Gluten-Free,Vegan,Vegetarian",6,Mulberries (fresh and dried),100.0,7.8,0.87,,6.5
0.8,,2.28,1.8,1.74,95.0,0.3,,98.0,2.0,13.71,,6.0,,39.2,1.586,,0.22,654.0,8.933,47.174,6.126,,,,6.7,,98.0,98.0,98.0,,2.43,,2.63,4.56,0.82,0.65,,2.91,0.8,,1.46,9.0,,0.89,,,0.089,,8.775,,,,158.0,,3.414,0.24,1.125,38.093,9.081,,,,,,,,,,,0.57,0.98,346.0,120.0,441.0,0.78,15.23,,0.15,,,,0.071,,4.545,,1.498,,,,,,,4.9,0.87,2.0,0.26,18.0,2.56,,,,,0.341,0.62,2.43,65.21,0.19,0.58,1.06,1.0,,0.537,1.3,,4.07,3.09,"Nuts,Nuts (walnuts)",Nuts and seeds,"Gluten-Free,Vegan,Vegetarian",12,Nuts (especially walnuts),100.0,2.7,0.7,,6.5
0.12,,0.19,5.3,0.36,,,,834.0,,74.96,,2919.0,,13.6,0.416,,0.02,313.0,0.11,0.341,0.536,,,,26.3,,180.0,180.0,180.0,,,,,0.45,0.11,0.06,,43.0,0.12,,0.18,6280.0,,0.17,,,,,0.11,,,,120.0,,8.167,0.05,2.006,0.278,0.063,,,,,,,,,,,0.203,0.12,113.0,,529.0,0.13,7.61,,0.421,,,,,,0.334,,0.202,,,,,,,3.7,0.11,23.0,,,,,,,,0.11,0.1,2.0,1.13,0.02,0.07,0.15,243.0,,1.74,46.5,,5.44,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Bay Leaves,100.0,6.2,4.95,,6.8
1.25,,0.77,5.2,2.44,,,,493.0,,4.09,,59.0,89.0,15.4,0.024,,0.19,265.0,5.28,0.41,14.95,0.72,0.55,0.17,,,49.0,49.0,49.0,,,,,6.08,0.5,0.6,,0.33,1.34,4.09,2.36,,,2.16,0.18,,0.42,0.11,4.57,,,,22.0,,0.006,0.64,0.685,0.36,0.05,,,,,,,,,,,0.298,1.23,337.0,27.0,100.0,2.51,14.21,131.0,0.34,0.78,0.98,0.13,2.58,0.22,7.27,0.1,2.83,,,,0.16,0.23,0.45,15.4,1.32,1116.0,,,,,0.55,,,0.187,0.85,4.09,21.28,0.24,1.34,1.66,180.0,1.7,0.219,,0.4,55.22,2.81,Milk,Cheese,Vegetarian,6,Feta Cheese,100.0,2.3,0.2,0.17,5.0
,,,5.6,,,,,148.0,,56.63,145.0,2195.0,,,0.372,255.0,,318.0,1.751,2.179,1.854,,,,27.2,,106.0,106.0,106.0,,,,,,,,,7.8,,,,2379.0,,,,,0.063,,1.657,,,,140.0,,1.89,,8.705,2.179,,,,,,,,,,,,2.529,,293.0,146.0,1650.0,,12.02,,0.919,,,,0.104,,1.237,,0.51,,,,,,,9.9,,30.0,,,,,,,,0.322,,10.3,14.3,,,,1537.0,,3.376,76.4,,8.84,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red Pepper Flakes / Chili,100.0,105.7,29.83,0.002,5.5
0.26,,0.23,1.58,0.56,,,,207.0,,3.04,,23.0,48.0,15.9,0.021,,0.08,174.0,2.518,0.306,6.878,0.34,0.265,0.075,,,16.0,16.0,16.0,,,,,1.69,0.16,0.25,,0.19,0.54,3.04,1.01,,,0.85,0.081,,0.151,0.05,2.235,,,,11.0,,0.007,0.28,0.093,0.264,0.042,,,,,,,,,,,0.21,0.45,153.0,,105.0,0.89,11.33,139.0,0.224,0.33,0.41,0.027,1.096,0.076,3.308,0.047,1.52,,,,0.063,0.097,0.15,15.3,0.58,240.0,,,,,0.265,,,0.021,0.47,3.04,10.46,0.13,0.47,0.68,154.0,0.46,0.052,,0.2,72.5,0.93,Milk,Cottage/ricotta cheese,Vegetarian,6,"Cheese (Feta, Ricotta/Gjizë)",100.0,2.8,0.25,0.075,5.5
0.618,,0.335,0.65,0.57,,5.0,,11.0,18.0,78.4,,9.0,,14.8,0.068,,0.1,361.0,0.783,1.782,0.36,,,,4.6,,27.0,27.0,27.0,,0.02,,0.05,1.15,0.287,0.2,,1.26,0.297,,1.06,135.0,,0.22,,,0.026,,0.748,,,,62.0,0.05,0.229,0.19,1.693,1.72,0.062,,,,,,,,,,,0.551,0.388,144.0,119.0,173.0,0.548,6.9,,0.06,,0.009,,0.009,,0.301,,0.041,,,,,,,11.2,0.364,9.0,77.5,22.0,0.03,,,,,0.08,0.25,0.1,3.55,0.054,0.264,0.354,10.0,,0.147,,,10.5,0.5,Cereals containing gluten,Corn,"Gluten-Free,Vegan,Vegetarian",6,Corn Flour (Maize),100.0,0.3,0.22,,6.5
,,,3.69,,,,,834.0,,74.96,,2919.0,,,0.232,,,313.0,1.34,0.85,2.28,,,,26.3,,180.0,180.0,180.0,,,,,,,,,43.0,,,,620.0,,,,,,,1.34,,,,120.0,,8.167,,2.007,0.85,,,,,,,,,,,,0.201,,163.0,,529.0,,7.61,,0.421,,,,,,2.2,,0.08,,,,,,,3.8,,23.0,,,,,,,,0.1,,3.8,8.36,,,,237.0,,1.74,46.5,,5.44,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Laurel,100.0,7.7,1.79,,5.5
,10.59,,0.27,,,,,12.0,,2.61,,,,7.5,0.021,,,82.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,0.33,,,,,,,,,,,,,,,11.0,,0.096,,0.1,,,,,,,,,,,,,0.088,,27.0,,104.0,,0.07,,0.011,,,,,,,,,,,,,,,0.1,,5.0,,,,,,,,0.007,,0.62,,,,,,,0.087,,,85.4,0.06,,Wine,"Vegan,Vegetarian",6,White Wine,100.0,0.4,,,3.5
0.41,,0.386,1.06,0.852,,,,207.0,,5.1,,5.0,30.0,15.4,0.021,,0.093,138.0,2.059,0.231,4.909,,0.198,0.052,,,10.0,10.0,10.0,,,,,1.896,0.218,0.3,,0.16,0.64,5.1,1.085,,,0.875,0.089,0.02,0.334,0.038,1.578,,,,13.0,,0.007,0.312,0.093,0.167,0.063,,,,,,,,,,,0.27,0.551,200.0,2.0,166.0,0.999,11.27,65.0,0.215,0.252,0.292,0.016,0.887,0.08,2.28,0.045,0.931,,,,0.165,0.066,0.046,9.0,0.551,84.0,,,,,,,,0.02,0.485,5.1,7.92,0.151,0.584,0.723,65.0,0.32,0.038,0.3,0.2,74.5,0.74,Milk,Cottage/ricotta cheese,Vegetarian,6,Ricotta (Gjizë),100.0,0.3,0.16,,6.5
1.745,,1.696,10.15,2.812,,,,232.0,,,,,85.0,65.5,0.165,,0.31,210.0,2.802,2.903,2.227,,0.009,,,,9.0,9.0,9.0,,,,,4.159,1.293,0.746,,4.63,1.309,,2.124,,,2.446,0.093,,0.551,0.162,1.74,0.224,0.032,,31.0,,0.088,0.78,14.3,0.58,0.236,0.364,0.11,0.134,0.231,0.685,0.007,0.035,0.217,0.309,,0.669,1.316,350.0,,380.0,0.94,28.89,15.0,0.208,,0.007,0.008,0.57,0.047,1.246,0.034,0.279,0.019,0.007,,,,,55.3,1.164,1440.0,,,,,,,,0.021,1.233,,9.73,0.323,1.127,1.411,15.0,1.0,0.198,0.9,4.1,51.23,1.69,Fish,Fish,"Keto,Paleo,Pescatarian",6,Anchovies,100.0,,0.93,,6.5
0.052,,0.034,0.9,0.076,,,,49.0,,7.3,,100.0,,12.8,0.066,,0.01,31.0,0.016,0.062,0.035,,,,3.1,1.2,27.0,27.0,27.0,,1.79,,2.11,0.147,0.048,0.023,,0.7,0.046,,0.06,22.0,,0.058,,,0.001,,0.015,,,,49.0,,0.066,0.01,0.64,0.035,0.027,,,,,,,,,,,0.232,0.042,50.0,,414.0,0.047,1.24,9.0,0.032,,,,0.001,,0.028,,0.006,,,,,,,0.7,0.046,52.0,,,,,,,,0.06,0.038,3.93,0.2,0.015,0.029,0.052,9.0,,0.047,12.0,,90.21,0.17,,Vegetables and Vegetable Products,"Gluten-Free,Keto,Paleo,Vegan,Vegetarian",6,Fennel (wild and cultivated),100.0,6.2,0.27,,6.2
0.081,,0.073,0.71,0.187,,,,14.0,,8.81,,534.0,,13.8,0.129,42.0,0.015,40.0,0.024,0.144,0.07,,,,1.5,3.3,23.0,23.0,23.0,,2.16,,3.17,0.129,0.076,0.038,,1.03,0.075,,0.106,479.0,162.0,0.098,,,,,0.024,,,,23.0,,0.14,0.025,1.24,0.117,0.027,,,,,,,,,,,0.334,0.063,43.0,,322.0,0.063,1.87,48.0,0.091,,,,,,0.046,,0.024,,,,,,,0.3,0.081,9.0,,,,,,,,0.096,0.066,5.3,0.4,0.024,0.052,0.071,48.0,,0.509,143.7,,88.1,0.26,,Vegetables and Vegetable Products,"Gluten-Free,Keto,Paleo,Vegan,Vegetarian",6,Hot Peppers (Peperoncino),100.0,14.0,0.69,,5.0
